TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
BOL.ST,2025-09-11,false,,,,,,
VNA.DE,2025-09-11,false,,,,,,
VOD.L,2025-09-11,false,,,,,,
SGRO.L,2025-09-11,false,,,,,,
AMS.MC,2025-09-11,false,,,,,,
ANA.MC,2025-09-11,false,,,,,,
ALFA.ST,2025-09-11,false,,,,,,
ULVR.L,2025-09-11,false,,,,,,
SAB.MC,2025-09-11,false,,,,,,
ORA.PA,2025-09-11,false,,,,,,
ADDT-B.ST,2025-09-11,false,,,,,,
SCMN.SW,2025-09-11,false,,,,,,
AD.AS,2025-09-11,false,,,,,,
ALFA.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ICG.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HEN3.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
FME.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AAF.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
VOW3.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
FCIT.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RIO.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
QIA.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SREN.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ROVI.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ALV.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ISP.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AC.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
GLEN.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ORA.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
G.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
NEXI.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
STJ.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
WPP.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
UCG.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
DSY.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ANTO.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ERF.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RACE.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SPX.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
TSCO.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
A2A.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HIK.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BKT.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
