TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
IP.MI,20.5671630,36.263157000,2.19310330,10.858,0.81,0.16430001,4499156480,4800320512,106263000
ISP.MI,10.7313730,10.731373000,1.45056990,,6.29,0.66420000,95804866560,218600046592,17504999424
ITRK.L,20.8214280,0.179557260,661.27890000,11.550,3.43,0.70019996,7343187968,8579299840,155443008
ITX.MC,24.6772480,34.805970000,8.57352900,15.742,2.42,0.58790000,145347493888,140926222336,3116369920
IVG.MI,13.0642860,9.379487000,1.87435950,8.587,1.81,0.23570000,4871486976,7985483264,266347008
JD.L,10.2800000,0.061597870,164.04254000,6.072,1.08,0.09790000,4821263360,8252436992,5036409856
KER.PA,40.3288400,29.912407000,1.98525690,15.916,2.57,1.01010000,29997301760,45807136768,122597000
KGF.L,24.5300000,0.100656540,68.88515000,7.388,5.04,1.25250000,4409586688,6354048512,1736169984
KNIN.SW,16.9834690,15.747127000,10.16823400,12.053,5.02,0.85230005,19519375360,22394673152,118731000
KPN.AS,22.3210540,17.670834000,7.33737040,10.731,4.18,0.89470000,16260758528,24467560448,3834180096
LAND.L,10.3679250,0.108084180,62.66393000,19.733,9.08,0.75850000,4093654016,8623130624,744977984
LDO.MI,27.3571430,29.636906000,3.18941780,14.875,1.07,0.28620002,28700798976,32262819840,576436992
LGEN.L,59.1500050,0.098337500,714.80365000,30.729,9.15,4.88550000,13319516160,28439676928,5629550080
LIFCO-B.ST,44.2762260,41.779450000,8.44777800,24.948,0.72,0.31910000,150436413440,161610711040,423836000
LLOY.L,11.7400000,0.117905310,122.10996000,,4.08,0.48029998,48699457536,24975910912,59259498496
LMP.L,10.5999990,0.135488720,89.69636500,16.059,6.79,0.68820000,4226428672,5964289024,2332430080
LOG.MC,13.3888880,14.107317000,5.88522600,3.716,7.23,0.96930003,3817584640,1521661824,132005000
LOGN.SW,25.7373140,21.288889000,5.81624360,14.903,1.46,0.32910000,12708742144,11305700352,147296000
LONN.SW,53.7439840,30.970604000,4.53828800,22.050,0.72,0.38540000,39169306624,42886737920,70145600
LR.PA,29.9675330,27.470238000,5.19765760,19.530,1.60,0.47680000,36296187904,39613530112,262160992
LSEG.L,47.2324300,0.222386230,218.58662000,20.184,1.56,0.70010000,48427040768,54678179840,522896000
MAP.MC,11.1142860,16.913044000,1.32991460,-0.728,4.89,0.46380000,11953658880,-2242227968,3072920064
MB.MI,12.9756110,12.229885000,1.55726310,,5.37,0.68290000,17160193024,41078501376,806400000
MBG.DE,7.3635077,5.279919000,0.55204445,10.491,8.29,0.60820000,50128785408,135839997952,962904000
MC.PA,22.1623480,16.753180000,3.70969490,13.188,2.65,0.59090000,245238415360,271178203136,496716992
MKS.L,24.4928570,0.113019116,235.02399000,6.430,1.05,0.21430000,7116512256,8718460928,2016450048
ML.PA,3.0771484,9.054598000,0.37568256,,,,22476146688,,713302016
MNDI.L,27.2027020,10.166667000,93.20308000,8.009,6.05,1.64590000,4546954752,7552645632,440536992
MNG.L,,0.097685190,187.97327000,5.618,7.83,2.85510020,5996712448,7584736256,2368369920
MONC.MI,21.7876110,18.373135000,3.94361690,15.231,2.68,0.57520000,13373487104,13442385920,271598016
MRK.DE,16.3732930,11.044012000,1.65971910,9.205,2.03,0.33380002,46912544768,54799532032,129242000
MRL.MC,10.9327730,23.232143000,0.92815864,25.619,3.07,0.33610000,7322210304,10970949632,562814016
MRO.L,24.0080010,0.173920620,269.14798000,11.347,1.07,0.24390000,7780873216,9349558272,1265100032
MT.AS,10.6071430,7.406483700,0.41536140,7.031,1.78,0.16010000,22586552320,33052538880,760489984
MTS.MC,10.5892860,6.769406300,0.41466212,7.023,1.77,0.16010000,22548527104,33014513664,760489984
MTX.DE,23.2624110,23.367876000,5.04961440,14.327,0.61,0.14190000,19405699072,19728715776,53785200
MUV2.DE,13.2892065,11.337967000,2.21208000,,3.83,0.50930000,67654332416,69662195712,129606000
NDA-SE.ST,9.8026310,108.759125000,16.97038800,,6.84,0.67630000,514809888768,674762391552,3442400000
NESN.SW,18.4125000,15.907127000,6.57413200,14.225,4.14,0.76250000,189480845312,249811451904,2572720128
NEXI.MI,20.2913040,9.150980000,0.52680886,7.015,5.28,1.08700000,6037604352,9324103680,1171440000
NG.L,17.3000000,0.137684050,134.47337000,13.636,4.51,0.91910005,51498504192,92645908480,4961319936
NIBE-B.ST,27.4701500,21.781065000,2.52694440,19.377,0.81,0.22389999,75058167808,95645499392,1782940032
NN.AS,12.5769230,8.518090000,0.72022027,-5.669,6.05,0.73500000,15533919232,-33246849024,263912992
NOVN.SW,18.7095580,16.469255000,4.69291800,9.469,3.47,0.57910000,197030805504,223005130752,1935849984
NTGY.MC,12.5741630,18.771430000,3.24524600,8.817,9.13,0.76730000,25248090112,40884092928,960734016
NWG.L,8.9186450,0.102254180,118.46016000,,4.79,0.36630002,42335371264,-69807947776,8045490176
NXT.L,20.0000000,0.176962720,869.62756000,12.944,1.95,0.35669997,14467886080,15969914880,116306000
OR.PA,33.6415440,28.839218000,6.56176300,21.250,1.80,0.61300000,212052934656,208584540160,533204992
ORA.PA,40.8529430,11.974138000,1.25530960,6.370,5.47,2.20590000,36927954944,71414947840,2658599936
P911.DE,18.2320670,8.309615000,1.69484200,6.707,5.39,0.97470003,39364308992,43731308544,455500000
