TICKER,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY
EVO.ST,true,20.40,2.01,10.83,7.55,2
EXO.AS,true,15.40,0.49,4.23,10.69,2
EXPN.L,true,7.80,0.05,6.27,1.49,3
EZJ.L,true,21.06,5.06,13.46,2.54,2
FBK.MI,true,11.40,0.10,6.22,5.08,0
FCIT.L,true,21.91,3.58,9.76,7.58,
FDR.MC,true,22.92,9.44,9.32,4.15,0
FER.MC,true,19.63,8.65,8.08,2.89,2
FME.DE,true,11.10,0.04,6.53,4.53,1
FRE.DE,true,12.02,0.05,7.83,4.14,1
FRES.L,true,28.97,12.81,12.35,3.82,2
G.MI,true,15.75,0.11,8.48,7.16,1
GAW.L,true,13.79,1.87,7.87,4.06,0
GEBN.SW,true,15.86,7.84,3.38,4.65,0
GIVN.SW,true,18.01,9.06,5.00,3.94,2
GLE.PA,true,15.37,1.53,8.08,5.75,2
GLEN.L,true,38.27,14.98,11.29,12.00,5
GRF.MC,true,15.00,1.40,10.09,3.52,2
GSK.L,true,14.85,1.89,9.66,3.30,2
HEI.DE,true,25.59,15.54,4.01,6.03,2
HEIA.AS,true,20.47,6.91,9.46,4.10,3
HEN3.DE,true,19.00,5.99,6.72,6.29,2
HER.MI,true,15.30,6.32,5.89,3.09,1
HEXA-B.ST,true,13.12,5.19,3.67,4.25,2
HIK.L,true,25.53,5.93,14.51,5.08,2
HLMA.L,true,9.62,3.03,4.03,2.57,1
HLN.L,true,12.54,2.97,6.37,3.20,2
HM-B.ST,true,19.81,3.80,9.92,6.08,3
HNR1.DE,true,17.00,1.37,8.52,7.11,0
HO.PA,true,27.27,7.98,11.77,7.52,2
HOLN.SW,true,18.32,11.11,4.01,3.20,2
HSBA.L,true,17.74,0.89,10.63,6.22,2
HSX.L,true,22.14,1.31,11.04,9.79,2
HWDN.L,true,13.33,4.83,6.05,2.45,0
IAG.L,true,22.70,7.03,13.43,2.23,2
IAG.MC,true,22.70,7.03,13.43,2.23,2
IBE.MC,true,22.61,8.43,10.16,4.01,2
ICG.L,true,15.81,0.66,7.20,7.95,0
IDR.MC,true,11.66,2.71,5.64,3.31,1
IFX.DE,true,17.17,10.28,4.76,2.14,1
IG.MI,true,14.16,4.71,6.62,2.83,1
IHG.L,true,18.04,9.37,7.14,1.53,2
III.L,true,10.73,0.20,6.35,4.18,1
IMB.L,true,28.24,7.40,14.71,6.13,2
IMCD.AS,true,11.58,3.91,4.97,2.70,0
IMI.L,true,23.37,9.82,10.26,3.28,0
INDU-C.ST,false,,,,,
INF.L,true,9.30,0.12,4.07,5.12,1
INGA.AS,true,18.02,1.30,11.19,5.53,2
INVE-B.ST,true,11.87,0.10,2.62,9.16,0
INW.MI,true,16.49,4.27,8.84,3.38,0
IP.MI,true,27.50,12.35,10.76,4.39,0
ISP.MI,true,9.51,0.00,6.30,3.21,2
ITRK.L,true,15.54,0.10,12.73,2.72,2
ITX.MC,true,12.75,2.88,5.41,4.46,2
IVG.MI,true,22.93,9.97,8.43,4.53,3
JD.L,true,12.63,1.16,8.34,3.14,2
KER.PA,true,10.68,2.28,4.15,4.26,2
KGF.L,true,9.17,2.87,5.30,1.00,1
KNIN.SW,true,18.33,3.92,9.08,5.33,0
KPN.AS,true,18.11,2.83,11.69,3.59,2
LAND.L,true,7.05,2.83,2.16,2.06,0
LDO.MI,true,26.21,8.67,11.29,6.25,2
LGEN.L,true,17.89,1.23,9.12,7.54,1
LIFCO-B.ST,true,36.17,14.87,13.26,8.04,0
LLOY.L,true,19.69,1.09,11.86,6.74,3
LMP.L,false,,,,,
LOG.MC,true,16.03,4.16,7.81,4.07,1
LOGN.SW,true,9.87,2.09,5.81,1.96,2
LONN.SW,true,16.27,1.35,10.70,4.22,1
LR.PA,true,15.02,8.30,4.54,2.19,2
LSEG.L,true,16.67,3.11,6.98,6.58,1
MAP.MC,true,19.13,0.78,9.99,8.36,2
MB.MI,true,12.62,0.08,6.63,5.91,0
MBG.DE,true,19.31,8.19,7.42,3.70,3
MC.PA,true,13.80,0.76,7.10,5.93,2
MKS.L,true,24.26,7.77,13.00,3.50,2
ML.PA,true,11.46,3.96,3.55,3.96,2
MNDI.L,true,10.86,6.95,2.90,1.00,2
MNG.L,true,22.68,2.38,12.04,8.26,1
MONC.MI,true,8.48,2.48,3.77,2.23,0
MRK.DE,true,15.11,2.02,7.63,5.46,2
MRL.MC,true,8.71,3.09,1.91,3.71,0
MRO.L,true,26.11,15.06,6.97,4.08,1
MT.AS,true,30.23,15.29,9.90,5.04,3
MTS.MC,true,30.23,15.29,9.90,5.04,3
MTX.DE,true,25.52,11.86,9.30,4.36,2
MUV2.DE,true,12.14,0.42,7.07,4.64,1
NDA-SE.ST,true,13.59,0.41,7.11,6.08,1
NESN.SW,true,24.40,12.56,8.35,3.49,3
NEXI.MI,true,19.81,5.00,10.52,4.30,1
NG.L,true,14.71,4.70,7.19,2.82,2
NIBE-B.ST,true,26.07,9.11,9.29,7.67,0
NN.AS,true,16.97,1.58,12.01,3.38,2
NOVN.SW,true,15.05,2.11,8.07,4.88,2
NTGY.MC,true,19.20,7.74,6.42,5.04,2
NWG.L,true,14.56,0.16,8.80,5.60,2
NXT.L,true,16.29,2.09,10.45,3.76,2
OR.PA,true,18.40,6.50,6.51,5.40,2
