TICKER_YAHOO,NOMBRE,PAIS,TICKET
BPSO.MI,Banca Popolare di Sondrio S.p.A.,Italia,BPSO
NEXI.MI,Nexi S.p.A.,Italia,NEXI
HER.MI,Hera S.p.A.,Italia,HER
SPM.MI,Saipem S.p.A.,Italia,SPM
DIA.MI,DiaSorin S.p.A.,Italia,DIA
IP.MI,Interpump Group S.p.A.,Italia,IP
AZM.MI,Azimut Holding Spa,Italia,AZM
AMP.MI,Amplifon SpA,Italia,AMP
ASML.AS,ASML Holding NV,Países Bajos,ASML
SHELL.AS,Shell Plc,Países Bajos,SHELL
UNA.AS,Unilever PLC,Países Bajos,UNA
PRX.AS,Prosus N.V. Class N,Países Bajos,PRX
REN.AS,RELX PLC,Países Bajos,REN
INGA.AS,ING Groep N.V.,Países Bajos,INGA
UMG.AS,Universal Music Group N.V.,Países Bajos,UMG
ADYEN.AS,Adyen NV,Países Bajos,ADYEN
HEIA.AS,Heineken NV,Países Bajos,HEIA
AD.AS,Koninklijke Ahold Delhaize N.V.,Países Bajos,AD
EXO.AS,EXOR N.V.,Países Bajos,EXO
WKL.AS,Wolters Kluwer N.V.,Países Bajos,WKL
MT.AS,ArcelorMittal SA,Países Bajos,MT
PHIA.AS,Koninklijke Philips N.V.,Países Bajos,PHIA
DSFIR.AS,DSM-Firmenich AG,Países Bajos,DSFIR
ABN.AS,ABN AMRO Bank N.V. Depositary receipts,Países Bajos,ABN
ASM.AS,ASM International N.V.,Países Bajos,ASM
KPN.AS,Royal KPN NV,Países Bajos,KPN
NN.AS,NN Group N.V.,Países Bajos,NN
ASRNL.AS,ASR Nederland N.V.,Países Bajos,ASRNL
AKZA.AS,Akzo Nobel N.V.,Países Bajos,AKZA
AGN.AS,Aegon Ltd.,Países Bajos,AGN
BESI.AS,BE Semiconductor Industries N.V.,Países Bajos,BESI
RAND.AS,Randstad NV,Países Bajos,RAND
IMCD.AS,IMCD N.V.,Países Bajos,IMCD
AZN.L,AstraZeneca PLC,Reino Unido,AZN
HSBA.L,HSBC Holdings Plc,Reino Unido,HSBA
SHEL.L,Shell Plc,Reino Unido,SHEL
ULVR.L,Unilever PLC,Reino Unido,ULVR
RR.L,Rolls-Royce Holdings plc,Reino Unido,RR
BATS.L,British American Tobacco p.l.c.,Reino Unido,BATS
RIO.L,Rio Tinto plc,Reino Unido,RIO
BP.L,BP PLC,Reino Unido,BP
REL.L,RELX PLC,Reino Unido,REL
GSK.L,GSK plc,Reino Unido,GSK
BA.L,BAE Systems plc,Reino Unido,BA
BARC.L,Barclays PLC,Reino Unido,BARC
NG.L,National Grid plc,Reino Unido,NG
LLOY.L,Lloyds Banking Group plc,Reino Unido,LLOY
LSEG.L,London Stock Exchange Group plc,Reino Unido,LSEG
CPG.L,Compass Group PLC,Reino Unido,CPG
DGE.L,Diageo plc,Reino Unido,DGE
NWG.L,NatWest Group Plc,Reino Unido,NWG
RKT.L,Reckitt Benckiser Group plc,Reino Unido,RKT
III.L,3i Group plc,Reino Unido,III
EXPN.L,Experian PLC,Reino Unido,EXPN
GLEN.L,Glencore plc,Reino Unido,GLEN
