Ticker,Year,CashAndCashEquivalents,CashFinancial,CashCashEquivalentsAndShortTermInvestments,TradingSecurities,OtherShortTermInvestments,AccountsReceivable,OtherReceivables,LoansHeldForSale,OtherCurrentAssets,LongTermInvestments,InvestmentsAndAdvances,Properties,MachineryFurnitureEquipment,ConstructionInProgress,OtherIntangibleAssets,Goodwill,GoodwillAndOtherIntangibleAssets,OtherNonCurrentAssets,DeferredTaxAssets,NetTangibleAssets,TotalAssets,AccountsPayable,CurrentNotesPayable,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentAccruedExpenses,PayablesAndAccruedExpenses,IncomeTaxPayable,TaxesPayable,SecuritiesSoldUnderRepurchaseAgreements,FederalFundsPurchasedAndSecuritiesSoldUnderRepurchaseAgreements,LiabilitiesOfDiscontinuedOperations,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,TotalDebt,NetDebt,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,ShareIssued,CommonStock,CapitalStock,CommonStockEquity,OrdinarySharesNumber,TreasuryStock,AdditionalPaidInCapital,InvestedCapital,TotalCapitalization,RetainedEarnings,UnrealizedGainLoss,GainsLossesNotAffectingRetainedEarnings,ForeignCurrencyTranslationAdjustments,OtherEquityAdjustments,TotalEquityGrossMinorityInterest,RevaluationReserve,TangibleBookValue
SKA-B.ST,2025,11585.0,,26336.0,,14751.0,34452.0,9410.0,,-1.0,,,,,,227.0,3877.0,4104.0,,,54744.0,161733.0,44141.0,,,1022.0,,44651.0,,,,,,,5766.0,2865.0,2865.0,6788.0,,102723.0,58848.0,419.9,,,58848.0,411.88,,,58848.0,58848.0,,,,,,59010.0,,54744.0
SKF-B.ST,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF-B.ST,2021,13219.0,,13657.0,,438.0,13972.0,977.0,,,,,0.0,40390.0,3812.0,6018.0,10924.0,16942.0,457.0,,26703.0,99628.0,9881.0,,3178.0,3757.0,,11493.0,,,,,,13276.0,15455.0,1040.0,1040.0,19212.0,3235.0,54263.0,43645.0,455.35,1138.0,1138.0,43645.0,455.35,,564.0,60099.0,56921.0,40386.0,,40386.0,,,45365.0,,26703.0
SKF-B.ST,2022,10255.0,4238.0,11224.0,,969.0,16905.0,1154.0,,,,,0.0,46430.0,5658.0,5842.0,12351.0,18193.0,443.0,,33734.0,110923.0,11594.0,,170.0,805.0,,13137.0,,,,,,18175.0,20461.0,1365.0,1365.0,21266.0,8090.0,56880.0,51927.0,455.35,1138.0,1138.0,51927.0,455.35,,564.0,70272.0,70102.0,44915.0,,44915.0,,,54043.0,,33734.0
SKF-B.ST,2023,13311.0,6200.0,13317.0,769.0,6.0,16811.0,1253.0,,,,,0.0,47082.0,6952.0,5045.0,11962.0,17007.0,454.0,,35736.0,111903.0,11236.0,,3171.0,3800.0,,13117.0,,,,,,15325.0,17532.0,1220.0,1220.0,21332.0,5185.0,56947.0,52743.0,455.35,1138.0,1138.0,52743.0,455.35,,564.0,71239.0,68068.0,48833.0,,48833.0,,,54956.0,,35736.0
SKF-B.ST,2024,11031.0,6434.0,11031.0,918.0,11361.0,16600.0,1193.0,,6057.0,,,0.0,51604.0,7239.0,4671.0,12574.0,17245.0,982.0,,42404.0,119413.0,12553.0,,3932.0,4734.0,,14161.0,,,,,,12594.0,15308.0,1905.0,1905.0,20042.0,5495.0,57444.0,59649.0,455.35,1138.0,1138.0,59649.0,455.35,,564.0,76175.0,72243.0,52856.0,,52856.0,,,61969.0,,42404.0
SKF-B.ST,2025,,,11374.0,,11374.0,16897.0,,,5331.0,,,,,,3865.0,11307.0,15172.0,2305.0,,37985.0,111379.0,11649.0,,,,,11649.0,,,,,,,,1783.0,1783.0,,,55993.0,53157.0,455.35,,,53157.0,455.35,,,53157.0,53157.0,,,,,,55386.0,,37985.0
SLHN.SW,2020,,,,,,1668.0,,,,,,556.0,,9.0,,,,,,,,2541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLHN.SW,2021,7208.0,,114088.0,,106880.0,2018.0,6893.0,,,,164014.0,612.0,153.0,22.0,1758.0,1575.0,1758.0,,,7556.0,238846.0,2768.0,,,4099.0,573.0,341.0,,,,,,4099.0,4099.0,864.0,864.0,4099.0,846.0,229413.0,9314.0,31.53,3.0,3.0,9314.0,30.91,285.0,15.0,13413.0,13413.0,9644.0,,9644.0,,,9433.0,,7556.0
SLHN.SW,2022,6910.0,,79352.0,,72442.0,2110.0,2867.0,,,,127536.0,635.0,151.0,,145.0,1568.0,1713.0,,,7375.0,213440.0,3040.0,,,11265.0,604.0,672.0,,,,,,11016.0,11265.0,1033.0,1033.0,11265.0,4106.0,204232.0,9088.0,30.83,3.0,3.0,9088.0,29.56,640.0,17.0,20104.0,20104.0,9738.0,,9738.0,,,9208.0,,7375.0
SLHN.SW,2023,5888.0,,65004.0,,59116.0,,3521.0,,,,126577.0,,151.0,,142.0,1561.0,1703.0,,,6471.0,213445.0,,,,9493.0,632.0,596.0,,,,,,9264.0,9493.0,986.0,986.0,9493.0,3376.0,205146.0,8174.0,29.52,3.0,3.0,8174.0,28.82,388.0,17.0,17438.0,17438.0,9499.0,,9499.0,,,8299.0,,6471.0
SLHN.SW,2024,5055.0,,59452.0,,54397.0,,2608.0,,,,130407.0,,146.0,,143.0,1588.0,1731.0,,,5789.0,218933.0,,,,9409.0,671.0,637.0,,,,,,9221.0,9409.0,962.0,962.0,9409.0,4166.0,211265.0,7520.0,28.73,3.0,3.0,7520.0,28.53,121.0,15.0,16741.0,16741.0,9395.0,,9395.0,,,7668.0,,5789.0
SLHN.SW,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLR.MC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLR.MC,2021,141.16,141.16,141.46,,0.3,34.49,0.64,,,,,32.3,626.53,144.1,112.22,112.22,112.22,,,135.13,1042.75,83.91,,78.13,82.81,,86.95,,,,,,478.06,584.21,0.0,0.0,667.02,415.03,795.4,247.35,124.95,1.25,1.25,247.35,124.95,,309.68,803.54,725.41,-75.89,,-75.89,,,247.35,,135.13
SLR.MC,2022,138.29,138.29,138.4,,0.11,40.67,0.94,,,,,47.46,887.28,195.29,103.97,103.97,103.97,,,239.32,1426.96,81.89,,92.81,96.97,,85.57,,,,,,684.83,784.58,16.23,16.23,881.55,639.36,1082.23,343.29,124.95,1.25,1.25,343.29,124.95,,309.68,1120.93,1028.12,14.16,,14.16,,,344.73,,239.32
SLR.MC,2023,65.84,65.84,65.94,,0.11,58.44,0.98,,,,,71.44,1233.27,208.58,110.51,110.51,110.51,,,412.41,1648.92,28.32,,168.09,173.23,,29.35,,,,,,781.15,886.82,26.24,26.24,1060.05,883.4,1124.8,522.92,124.95,1.25,1.25,522.92,124.95,,309.68,1472.16,1304.07,107.51,,107.51,,,524.12,,412.41
SLR.MC,2024,44.47,44.47,44.55,,0.08,69.97,1.47,,1.55,,,54.3,1195.34,499.45,144.44,144.44,144.44,1.85,,469.45,1968.64,122.3,,135.86,152.69,,136.07,,,,,,856.03,994.74,39.71,39.71,1147.43,947.42,1350.81,613.89,124.95,1.25,1.25,613.89,124.95,,309.68,1605.78,1469.91,88.61,,88.61,,,617.84,,469.45
SLR.MC,2025,41.09,,47.57,,6.48,58.23,1.81,,,,,,,,143.38,143.38,143.38,0.0,,525.05,2057.28,145.84,,140.36,147.21,,145.84,,,,,,886.54,1024.12,42.15,42.15,1171.33,985.8,1383.68,668.44,124.95,310.93,310.93,668.44,124.95,,,1695.34,1554.98,303.86,,303.86,,,673.6,,525.05
SOON.SW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOON.SW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOON.SW,2022,610.5,460.1,610.7,,0.2,474.3,108.0,,10.2,,,0.0,325.2,21.7,650.5,2298.4,2948.9,0.1,,-538.4,5588.2,189.2,,335.1,403.9,,478.3,,,,,,864.9,1080.4,138.8,138.8,1484.3,589.5,3155.4,2410.5,63.17,3.2,3.2,2410.5,61.09,721.0,,3610.5,3275.4,3128.2,,3128.2,,,2432.8,,-538.4
SOON.SW,2023,413.9,413.4,414.1,,0.2,524.7,87.8,,12.2,,,0.0,333.8,29.7,656.5,2401.4,3057.9,-0.1,,-845.5,5552.5,192.9,,5.2,78.6,,457.7,,,,,,1512.7,1736.2,113.9,113.9,1814.8,1104.0,3321.2,2212.4,61.16,3.1,3.1,2212.4,59.59,429.0,,3730.3,3725.1,2638.4,,2638.4,,,2231.3,,-845.5
SOON.SW,2024,513.6,513.4,513.8,,0.2,538.3,104.6,,10.8,,,0.0,346.1,37.8,619.1,2419.5,3038.6,-0.2,,-568.2,5791.8,202.4,,5.0,79.3,,510.7,,,,,,1510.5,1715.3,129.4,129.4,1794.6,1001.9,3300.5,2470.4,59.63,3.0,3.0,2470.4,59.61,3.8,,3985.9,3980.9,2471.2,,2471.2,,,2491.3,,-568.2
SOON.SW,2025,686.9,461.7,687.1,,0.2,576.9,104.2,,12.0,,,0.0,358.8,34.8,577.1,2407.5,2984.6,-0.2,,-320.0,5924.2,269.0,,363.5,432.2,,522.1,,,,,,1148.4,1328.3,126.3,126.3,1760.5,825.0,3239.6,2664.6,59.63,3.0,3.0,2664.6,59.61,5.6,,4176.5,3813.0,2667.2,,2667.2,,,2684.6,,-320.0
SPM.MI,2020,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPM.MI,2021,1495.0,553.0,1554.0,,59.0,1837.0,2038.0,,144.0,,,0.0,11948.0,115.0,32.0,667.0,699.0,23.0,,-373.0,11542.0,2378.0,,1109.0,1256.0,,2760.0,,,,,,2432.0,2679.0,5.0,5.0,3935.0,2046.0,11191.0,326.0,402.75,2191.0,2191.0,326.0,394.22,84.0,553.0,3867.0,2758.0,-2237.0,,-2237.0,,,351.0,,-373.0
SPM.MI,2022,2052.0,,2127.0,,75.0,1676.0,2861.0,,139.0,,,0.0,9577.0,124.0,28.0,663.0,691.0,20.0,,1377.0,12397.0,2630.0,,901.0,1040.0,,3092.0,,,,,,1729.0,1993.0,3.0,3.0,3033.0,578.0,10311.0,2068.0,1995.56,502.0,502.0,2068.0,1995.14,77.0,1877.0,4698.0,3797.0,-118.0,,-118.0,,,2086.0,,1377.0
