Ticker,Year,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,Net Income From Continuing Operations,DepreciationAmortizationDepletion,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,TaxesRefundPaid,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetInvestmentPurchaseAndSale,PurchaseOfInvestments,SaleOfInvestments,NetPPEPurchaseAndSale,PurchaseOfPPE,SaleOfPPE,NetIntangiblesPurchaseAndSale,PurchaseOfIntangibles,SaleOfIntangibles,NetBusinessPurchaseAndSale,PurchaseOfBusiness,SaleOfBusiness,Net Other Investing Changes,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetLongTermDebtIssuance,Net Issuance Payments Of Debt,LongTermDebtIssued,LongTermDebtPayments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Net Other Financing Charges,EndCashPosition,ChangeInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
TELIA.ST,2025,6734.0,,2178.0,,,,-188.0,-188.0,,-188.0,,-2424.0,,,,,,,,2.0,,2.0,1050.0,,1050.0,-22.0,-2948.0,,-1710.0,-1710.0,,-1710.0,,,,-1966.0,857.0,9781.0,1362.0,29.0,8389.0,-3491.0,,,-1710.0,,3243.0
TEN.MI,2020,,,,,,,,,,,,,,,-887.22,,,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEN.MI,2021,119.08,119.08,1053.32,594.72,594.72,-11.36,-1071.46,,4.89,44.66,,267.9,267.9,390.19,-0.69,390.19,17.66,-5.08,22.73,,,,23.64,-0.69,24.33,,-647.96,-647.96,-325.86,-325.86,843.67,-1169.53,0.0,0.0,0.0,-318.74,-3.35,318.07,-260.99,-5.53,584.58,-244.59,,843.67,-1169.53,0.0,-125.52
TEN.MI,2022,1167.22,1167.22,2548.7,607.72,607.72,71.18,-2131.24,,57.39,151.07,,-163.56,-163.56,123.25,0.0,123.25,29.56,-18.9,48.46,,,,-4.08,-4.08,0.0,,-178.34,-178.34,364.74,364.74,1511.5,-1146.77,0.0,0.0,0.0,-531.24,-11.84,1091.43,825.32,-51.95,318.07,-397.35,,1511.5,-1146.77,0.0,769.87
TEN.MI,2023,4395.07,4395.07,3957.83,548.51,548.51,-75.31,182.43,,28.27,-101.65,,-2686.52,-2686.52,-1857.27,,,14.62,,14.62,,,,-288.32,-288.32,0.0,-4.88,-1125.01,-1125.01,-259.56,-259.56,1723.68,-1983.24,-213.74,-213.74,-213.74,-636.51,-15.2,1616.6,583.55,-58.38,1091.43,-619.45,,1723.68,-1983.24,-213.74,3775.63
TEN.MI,2024,2866.22,2866.22,2076.77,632.85,632.85,125.89,286.92,,-100.13,-71.1,,-1397.16,-1397.16,-821.48,,,18.57,-10.39,28.96,,,,31.45,0.0,31.45,-5.55,-2399.43,-2399.43,-197.34,-197.34,1870.67,-2068.0,-1439.59,-1439.59,-1439.59,-757.79,-4.72,660.8,-930.37,-25.43,1616.6,-704.35,,1870.67,-2068.0,-1439.59,2161.87
TEN.MI,2025,673.15,673.15,541.71,150.0,150.0,23.62,26.5,,,,,36.41,36.41,94.3,,,38.06,-18.77,56.83,,,,-1.85,-1.85,0.0,,-896.67,-896.67,-32.35,-32.35,128.87,-161.22,-236.74,-236.74,-236.74,-600.32,-27.26,571.49,-187.12,-0.34,758.95,-154.22,,128.87,-161.22,-236.74,518.92
TEP.PA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,230.0,1333.0,-1103.0,,,,,,,,,,,,1333.0,-1103.0,,
TEP.PA,2021,1141.0,,557.0,518.0,518.0,74.0,-75.0,36.0,,-75.0,-228.0,-1158.0,,,,,,,5.0,-229.0,-232.0,3.0,-929.0,-929.0,,,-173.0,,-921.0,-921.0,1134.0,-921.0,6.0,,,-141.0,1134.0,835.0,-190.0,32.0,993.0,-232.0,,1134.0,-921.0,,909.0
TEP.PA,2022,1294.0,,643.0,631.0,631.0,97.0,-172.0,-14.0,,-172.0,-291.0,-602.0,,,,,,,,-297.0,-298.0,1.0,-304.0,-304.0,,,-715.0,,-1709.0,-1709.0,,-1709.0,-146.0,0.0,-146.0,-194.0,-82.0,813.0,-23.0,1.0,835.0,-298.0,0.0,,-1709.0,-146.0,996.0
