Ticker,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherWorkingCapital,ChangesInAccountReceivables,ChangeInAccountPayable,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,CapitalExpenditure,PurchaseOfPropertyPlantAndEquipment,SaleOfPropertyPlantAndEquipment,PurchaseOfIntangibleAssets,SaleOfIntangibleAssets,PurchaseOfInvestment,SaleOfInvestment,PurchaseOfBusiness,SaleOfBusiness,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,NetBusinessPurchaseAndSale,NetOtherInvestingChanges,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,IssuanceOfCapitalStock,CommonStockIssuance,RepurchaseOfCapitalStock,CashDividendsPaid,IssuanceOfDebt,RepaymentOfDebt,IssuanceOfLongTermDebt,RepaymentOfLongTermDebt,NetBorrowings,NetOtherFinancingCharges,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,EffectOfExchangeRateChanges,ChangeInCashSupplementalAsReported,BeginningCashPosition,EndCashPosition,FreeCashFlow
RNO.PA,3183.0,-5017.0,1096.0,,,,-212.0,923.0,7161.0,,-2962.0,,,,,-445.0,1648.0,-282.0,,-1288.0,1203.0,-1580.0,-282.0,-88.0,-2035.0,,,,,-536.0,0.0,-1578.0,,,,-850.0,-3234.0,,-27.0,,20677.0,22542.0,4199.0
SAF.PA,1406.0,-907.0,7.0,,,,1459.0,,4733.0,,-1544.0,,,,,-417.0,113.0,,,-172.0,-304.0,-1044.0,,,-1848.0,,0.0,0.0,-1320.0,-911.0,56.0,-863.0,,,,-21.0,-3073.0,,26.0,,6676.0,6514.0,3189.0
SGO.PA,2631.0,36.0,-74.0,,,,-97.0,,5569.0,,-2083.0,,,,,-219.0,18.0,-3331.0,30.0,,-201.0,-1925.0,-3301.0,163.0,-5266.0,,222.0,222.0,-811.0,-1045.0,3674.0,-1624.0,,,,-83.0,-402.0,,-58.0,,8602.0,8460.0,3486.0
SAN.PA,3586.0,136.0,-615.0,-899.0,-28.0,789.0,,,9081.0,8607.0,-3195.0,,,,,,,-2524.0,0.0,,,-1734.0,-2524.0,-40.0,-4407.0,-4298.0,187.0,187.0,-302.0,-4704.0,0.0,-953.0,,,,-38.0,-5763.0,-5751.0,-13.0,,8710.0,7441.0,5886.0
SU.PA,1538.0,200.0,-728.0,,,,-134.0,,5580.0,,-1419.0,,,,,,,-535.0,83.0,-469.0,-91.0,-895.0,-452.0,-80.0,-1987.0,,,,,-1963.0,3466.0,-2722.0,,,,-183.0,-1624.0,,189.0,,4654.0,6812.0,4161.0
GLE.PA,10086.0,1700.0,-26504.0,,,,-19758.0,,-10098.0,,-11433.0,,,,,,,,,,-2310.0,-11433.0,,,-13743.0,,,,,,,,,,,155.0,-1273.0,,2236.0,,241997.0,219119.0,-21531.0
STLAP.PA,7226.0,1927.0,-8093.0,-1619.0,786.0,-4007.0,-3885.0,,4008.0,4008.0,-11060.0,,,,,,,-1652.0,261.0,,,-10472.0,-1391.0,-4119.0,-15982.0,-15982.0,104.0,104.0,-3000.0,-4651.0,,,,,,2407.0,2061.0,2061.0,410.0,,43669.0,34100.0,-7052.0
STMPA.PA,1760.0,-212.0,-495.0,-261.0,-32.0,-35.0,,,2965.0,2965.0,-3181.0,,,,,-3258.0,2251.0,,,-93.0,-1007.0,-3083.0,,441.0,-3742.0,-3742.0,,,-359.0,-288.0,300.0,-203.0,,,,395.0,-155.0,-155.0,-8.0,,3222.0,2282.0,-216.0
TEP.PA,779.0,260.0,103.0,,,,140.0,,1813.0,,-219.0,,,,,,,-7.0,,-214.0,,,-7.0,,-221.0,,,,-184.0,-231.0,,,,,,-473.0,-1403.0,,-7.0,,867.0,1049.0,1594.0
HO.PA,1155.4,414.1,26.1,,,,1711.1,0.0,2746.4,,-623.1,,,,,,,-1667.1,2018.2,,101.5,-616.8,351.1,-34.9,-27.9,,,,-275.4,-708.4,158.2,-1155.1,,,,-7.3,-1995.0,,63.7,,4207.3,4767.1,2123.3
TTE.PA,13107.0,535.0,2364.0,,3884.0,-889.0,-3556.0,,30854.0,30854.0,-14909.0,,,,,,347.0,-4566.0,2167.0,-14182.0,347.0,,-2399.0,-1098.0,-17332.0,-17332.0,521.0,521.0,-7995.0,-7717.0,7563.0,-802.0,,,,-853.0,-14425.0,-14425.0,-516.0,,27263.0,25844.0,15945.0
URW.PA,127.6,466.1,-93.3,,,,,,2190.2,,-1308.3,,,,,-21.5,436.6,-68.9,,,415.1,-1308.3,-68.9,,-537.1,,5.2,5.2,,-347.9,1568.7,-2531.4,,,,608.0,-1882.3,,15.6,,5496.1,5282.5,881.9
VIE.PA,2996.0,943.0,-195.0,,,,-195.0,,5038.0,,,,,,,-3672.0,1176.0,,,,-2496.0,212.0,,-2.0,-2115.0,,341.0,341.0,-8.0,-1218.0,1462.0,-840.0,,,,-238.0,-1857.0,,20.0,,8317.0,9404.0,5038.0
DG.PA,3998.0,1395.0,2311.0,,,,-667.0,1754.0,11714.0,,-4052.0,,,,,,,-5006.0,409.0,,,-3882.0,-4597.0,-572.0,-9051.0,,668.0,668.0,-1912.0,-2570.0,4117.0,-1993.0,,,,310.0,-3027.0,,,,14701.0,14297.0,7662.0
ADS.DE,1171.0,154.0,685.0,,,,,,2910.0,,-540.0,,,,,,,,100.0,-121.0,-22.0,-370.0,100.0,,-356.0,,24.0,24.0,-35.0,-125.0,3.0,-500.0,,,,-13.0,-1559.0,,29.0,,1431.0,2455.0,2370.0
AIR.DE,2853.0,98.0,1337.0,,,,6146.0,,7402.0,,-3669.0,,,,,-4460.0,1769.0,-1117.0,530.0,-3571.0,-2691.0,,-587.0,,-6653.0,,,,,-2215.0,,,,,,-78.0,-2570.0,,358.0,,16473.0,15010.0,3733.0
ALV.DE,2154.0,-4617.0,16799.0,,,,13212.0,623.0,31903.0,,-1915.0,,,,,-281487.0,257692.0,-1189.0,464.0,,-23795.0,-1643.0,-725.0,536.0,-25675.0,,,,,-5751.0,9206.0,-6087.0,,,,172.0,-4364.0,,426.0,,29210.0,31637.0,29988.0
BAS.DE,4648.0,390.0,871.0,,,,383.0,-76.0,6946.0,,-6198.0,,,,,-1395.0,1831.0,-202.0,75.0,,436.0,-6198.0,-127.0,808.0,-5081.0,,,,-46.0,-3284.0,,,,,,1783.0,-1547.0,,-21.0,,2624.0,2921.0,748.0
BAYN.DE,8783.0,1897.0,85.0,,,,-19.0,,7368.0,,-2778.0,,,,,-251.0,2576.0,-184.0,17.0,,2325.0,-2483.0,-167.0,,164.0,,0.0,0.0,-16.0,-131.0,5815.0,-10833.0,,,,-36.0,-7178.0,,-68.0,,5907.0,6191.0,4590.0
BEI.DE,357.0,-42.0,-38.0,,,,,279.0,1231.0,,-437.0,,,,,-635.0,942.0,-121.0,0.0,,307.0,-415.0,-121.0,4.0,-126.0,,,,-501.0,-14.0,116.0,-269.0,,,,,-1029.0,,-2.0,,1133.0,1207.0,794.0
