ticker,year,market,name,country,ticket,index
ACS.MC,2023,Madrid Stock Exchange,ACS,Spain,ACS,IBEX35
AMS.MC,2024,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
AMS.MC,2025,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
AENA.MC,2022,Madrid Stock Exchange,Aena,Spain,AENA,IBEX 35
ANA.MC,2020,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX35
ANA.MC,2021,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX 35
AENA.MC,2023,Madrid Stock Exchange,Aena,Spain,AENA,IBEX35
ANA.MC,2024,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX35
ANA.MC,2025,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX35
AMS.MC,2022,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX 35
AMS.MC,2023,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
ANE.MC,2024,Madrid Stock Exchange,Acciona Energia,Spain,ANE,IBEX35
ANE.MC,2025,Madrid Stock Exchange,Acciona Energia,Spain,ANE,IBEX35
BBVA.MC,2020,Madrid Stock Exchange,BBVA,Spain,BBVA,IBEX35
BBVA.MC,2021,Madrid Stock Exchange,BBVA,Spain,BBVA,IBEX 35
MTS.MC,2023,Madrid Stock Exchange,ArcelorMittal,Spain,MTS,IBEX35
BBVA.MC,2024,Madrid Stock Exchange,BBVA,Spain,BBVA,IBEX35
BBVA.MC,2025,Madrid Stock Exchange,BBVA,Spain,BBVA,IBEX35
MTS.MC,2022,Madrid Stock Exchange,ArcelorMittal,Spain,MTS,IBEX 35
BKT.MC,2020,Madrid Stock Exchange,Bankinter,Spain,BKT,IBEX35
BKT.MC,2021,Madrid Stock Exchange,Bankinter,Spain,BKT,IBEX 35
SAB.MC,2023,Madrid Stock Exchange,Banco Sabadell,Spain,SAB,IBEX35
