Ticker,Year,Total Revenue,Net Interest Income,Total Premiums Earned,Total Other Income Expense Net,Interest Expense,Provision for Loan Losses,Selling General Administrative,Other Operating Expenses,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Gross Profit,Operating Expense,Operating Income,Ebit,Extraordinary Items,Effect Of Accounting Charges,Other Items,Income Before Tax,Tax Provision,Net Income Applicable To Common Shares,Net Income,Net Income From Continuing Ops,Discontinued Operations,Normalized Income,Minority Interest,Preferred Dividends,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares
ADM.L,2023.0,3553100000.0,-20100000.0,,,20500000.0,,,176500000.0,,,,,,,,,,,,105600000.0,,338000000.0,,,338000000.0,,,1.112,1.108,303989170.0,305052941.0
ADM.L,2024.0,4866600000.0,-26500000.0,,,27100000.0,,,192600000.0,,,,,,,,,,,,176300000.0,,663300000.0,,,663300000.0,,,2.166,2.166,306304676.0,306304676.0
ADS.DE,2021.0,21234000000.0,-96000000.0,,,111000000.0,,,62000000.0,,,,10765000000.0,8776000000.0,1989000000.0,,,,,,360000000.0,,2116000000.0,,,1450806000.0,,,10.9,10.9,194172984.0,194178081.0
ADS.DE,2022.0,22511000000.0,-115000000.0,,,137000000.0,,,175000000.0,,,,10644000000.0,9915000000.0,729000000.0,,,,,,134000000.0,,612000000.0,,,267300000.0,,,3.34,3.34,183263629.0,183268087.0
ADS.DE,2023.0,21427000000.0,-83000000.0,,,160000000.0,,,130000000.0,,,,10183000000.0,9904000000.0,279000000.0,,,,,,124000000.0,,-75000000.0,,,-108800000.0,,,-0.42,-0.42,178543596.0,178557615.0
ADS.DE,2024.0,23683000000.0,-122000000.0,,,221000000.0,,,-80000000.0,,,,12025000000.0,10734000000.0,1291000000.0,,,,,,297000000.0,,764000000.0,,,722925000.0,,,4.28,4.28,178549084.0,178563385.0
ADYEN.AS,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,8.51,30246923.0,30667599.0
ADYEN.AS,2021.0,5995419000.0,-11749000.0,,,12788000.0,,,84750000.0,,,,1001517000.0,406786000.0,594731000.0,,,,,,111130000.0,,469717000.0,,,480844712.0,,,15.4,15.31,30499194.0,30675815.0
ADYEN.AS,2022.0,8935611000.0,17360000.0,,,11963000.0,,,121521000.0,,,,1330166000.0,665437000.0,664729000.0,,,,,,155800000.0,,564139000.0,,,527664770.8,,,18.21,18.17,30975325.0,31046029.0
ADYEN.AS,2023.0,1863406000.0,241618000.0,,,4783000.0,,,154484000.0,,,,1626061000.0,944224000.0,681837000.0,,,,,,244287000.0,,698322000.0,,,671053152.0,,,22.52,22.41,31012122.0,31156990.0
ADYEN.AS,2024.0,2225601000.0,353084000.0,,,26740000.0,,,189681000.0,,,,1987775000.0,1115264000.0,872511000.0,,,,,,301567000.0,,925163000.0,,,925163000.0,,,,,,
AENA.MC,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AENA.MC,2021.0,2435927000.0,-15574000.0,,,71262000.0,,,585327000.0,,,,912371000.0,700332000.0,212039000.0,,,,,,-217350000.0,,-475448000.0,,,107587400.47706,,,-0.317,-0.317,1500000000.0,1500000000.0
AENA.MC,2022.0,4190195000.0,-78608000.0,,,92104000.0,,,1060985000.0,,,,2558530000.0,1205594000.0,1352936000.0,,,,,,263261000.0,,901499000.0,,,964587185.644946,,,0.601,0.601,1500000000.0,1500000000.0
AENA.MC,2023.0,5039822000.0,-106533000.0,,,206922000.0,,,1510411000.0,,,,3497104000.0,1415723000.0,2081381000.0,,,,,,520821000.0,,1630814000.0,,,1493825808.216484,,,1.087,1.087,1500288868.0,1500288868.0
AENA.MC,2024.0,5763531000.0,-141704000.0,,,245748000.0,,,1562519000.0,,,,4130277000.0,1506826000.0,2623451000.0,,,,,,583652000.0,,1934224000.0,,,1916042187.032805,,,1.289,1.289,1500561676.0,1500561676.0
AGN.AS,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGN.AS,2021.0,42546000000.0,-246000000.0,,,246000000.0,,,-673000000.0,,,,,,,,,,,,95000000.0,,1980000000.0,,,1034694158.075601,,,0.94,0.94,2602000000.0,2602000000.0
AGN.AS,2022.0,-21643000000.0,-7000000.0,,,7000000.0,,,-341000000.0,,,,,,,,,,,,71000000.0,,-570000000.0,,,726000000.0,,,-0.3,-0.3,2546000000.0,2546000000.0
AGN.AS,2023.0,20055000000.0,-7000000.0,,,7000000.0,,,49000000.0,,,,,,,,,,,,-209000000.0,,-179000000.0,,,-162000000.0,,,-0.12,-0.12,2369000000.0,2369000000.0
AGN.AS,2024.0,19519000000.0,-6000000.0,,,6000000.0,,,-158000000.0,,,,,,,,,,,,-16000000.0,,688000000.0,,,688000000.0,,,0.37,0.37,2010000000.0,2010000000.0
AHT.L,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.171851,2.164877,447900000.0,449300000.0
AHT.L,2022.0,7962300000.0,-232600000.0,,,225800000.0,,,1319100000.0,,,,7020500000.0,4811200000.0,2209300000.0,,,,,,417000000.0,,1251100000.0,,,1482550000.0,,,2.809,2.797,445300000.0,447200000.0
AHT.L,2023.0,9667300000.0,-366200000.0,,,361600000.0,,,1482000000.0,,,,8558200000.0,5593900000.0,2964300000.0,,,,,,538100000.0,,1617700000.0,,,1949425000.0,,,3.684,3.661,439100000.0,441900000.0
AHT.L,2024.0,10858700000.0,-544500000.0,,,537600000.0,,,1639400000.0,,,,9652900000.0,6363100000.0,3289800000.0,,,,,,511100000.0,,1598400000.0,,,2080155259.540175,,,3.658,3.637,437000000.0,439500000.0
AHT.L,2025.0,10791700000.0,-559000000.0,,,553400000.0,,,1643600000.0,,,,9499000000.0,6555600000.0,2943400000.0,,,,,,487700000.0,,1510500000.0,,,1802440296.26664,,,,,,
AI.PA,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,2021.0,23334800000.0,-408300000.0,,,333900000.0,,,3477200000.0,,,,13946100000.0,9785800000.0,4160300000.0,,,,,,914800000.0,,2572200000.0,,,2684622200.0,,,4.490909,4.472727,572911439.0,575423415.0
AI.PA,2022.0,29934000000.0,-386000000.0,,,44800000.0,,,4074200000.0,,,,16121000000.0,11259200000.0,4861800000.0,,,,,,1002300000.0,,2758800000.0,,,3182830100.0,,,4.8,4.790909,574275922.0,576317657.0
AI.PA,2023.0,27607600000.0,-416200000.0,,,265500000.0,,,4045200000.0,,,,16460800000.0,11392800000.0,5068000000.0,,,,,,971800000.0,,3078000000.0,,,3458319000.0,,,5.35,5.35,575808001.0,575808001.0
