Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
IFX.DE,2024-09-30 00:00:00,14955000000.0,8886000000.0,6069000000.0,,,3879000000.0,398000000.0,2190000000.0,,,157000000.0,,378000000.0,,,,,,,1301000000.0,,0.98,0.97,1301000000.0,1305000000.0,1780000000.0,,,,,-43000000.0,,
MBG.DE,2024-12-31 00:00:00,145594000000.0,117018000000.0,28576000000.0,,,16275000000.0,345000000.0,12301000000.0,,,586000000.0,,3738000000.0,,,,,,,10207000000.0,,10.19,10.19,1002000000.0,1002000000.0,10085560000.0,,,,,435000000.0,,
MRK.DE,2024-12-31 00:00:00,21156000000.0,8671000000.0,12485000000.0,,,8467000000.0,328000000.0,4018000000.0,,,292000000.0,,751000000.0,,,,,,,2777000000.0,,6.39,6.39,434777878.0,434777878.0,3090624000.0,,,,,-139000000.0,,
MTX.DE,2024-12-31 00:00:00,7411000000.0,6177000000.0,1234000000.0,,,352000000.0,6000000.0,882000000.0,,,95000000.0,,253000000.0,,,,,,,633000000.0,,,,,,666699000.0,,,,,-55000000.0,,
MUV2.DE,2024-12-31 00:00:00,42306000000.0,,,,,,2258000000.0,,,,327000000.0,,2091000000.0,,,,,,,5685000000.0,,42.78,42.78,132889201.0,132889201.0,5687924000.0,,,,,-328000000.0,,
PAH3.DE,2024-12-31 00:00:00,-19862000000.0,,,,,30000000.0,9000000.0,-19892000000.0,,,360000000.0,,-133000000.0,,,,,,,-20017000000.0,,-65.36,-65.36,153125000.0,153125000.0,-20001105607.94045,,,,,-240000000.0,,
P911.DE,2024-12-31 00:00:00,40082000000.0,29756000000.0,10327000000.0,,,4821000000.0,408000000.0,5506000000.0,,,223000000.0,,1632000000.0,,,,,,,3592000000.0,,3.94,3.94,911000000.0,911000000.0,3536272000.0,,,,,-80000000.0,,
QIA.DE,2024-12-31 00:00:00,1978214000.0,1010864000.0,967350000.0,,,767451000.0,,199899000.0,,,43841000.0,,37556000.0,,,,,,,83591000.0,,0.390857,0.380571,216435138.0,218474861.0,154100720.0,,,,,24175000.0,,
RHM.DE,2024-12-31 00:00:00,9751000000.0,4692000000.0,5059000000.0,,,3652000000.0,593000000.0,1407000000.0,,,135000000.0,,333000000.0,,,,,,,717000000.0,,16.51,15.96,43430000.0,46660000.0,820768104.149715,,,,,-126000000.0,,
RWE.DE,2024-12-31 00:00:00,24224000000.0,15574000000.0,8650000000.0,,,5020000000.0,-516000000.0,3630000000.0,,,1104000000.0,,1054000000.0,,,,,,,5135000000.0,,6.91,6.91,743554000.0,743554000.0,3247658000.0,,,,,14000000.0,,
